,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FMPP,FPL,GVL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYIS,NWMT,OVEC,PJM,AEC,PNM,SEC,SCEG,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NBSO,ERCO
0,0,3230.09,0,203.13,10668.88,4558.09,5460.72,0,0,1633.93,10844.96,166.59,0,12944.15,1078.17,3796.54,72911.6,0,16534.65,0,0,78582.66,0,0,0,2693.97,2868.52,0,20170.07,31683.02,81.66,1733.94,16838.71,0,0,0,0
1,0,3152.25,0,189.87,10238.1,4173.98,5286.45,0,0,1519.97,9868.54,153.49,0,12325.35,1002.89,3725.2,71104.83,0,15753.52,0,0,75769.43,0,0,0,2659.37,2808.63,0,19627.38,30921.77,82.28,1621.97,16263.9,0,0,0,0
2,0,3106.38,0,177.18,9922.79,3871.68,5213.04,0,0,1434.78,8948.16,143.89,0,12042.64,929.64,3691.27,69507.38,0,15029.59,0,0,73670.03,0,0,0,2631.32,2740.48,0,19469.53,30180.01,83.01,1586.27,15970.11,0,0,0,0
3,0,3077.48,0,167.5,9699.53,3654.36,5235.2,0,0,1358.74,8542.76,139.7,0,11979.97,882.43,3754.04,69087.53,0,14581.63,0,0,72749.45,0,0,0,2621.58,2719.87,0,19627.2,29707.91,83.7,1542.82,16021.38,0,0,0,0
4,0,3100.8,0,171.87,9994.84,3571.49,5581.34,0,0,1354.77,8423.17,140.48,0,12000.65,876.9,3945.92,70099.17,0,14642.73,0,0,72564.28,0,0,0,2668.64,2766.85,0,19984.42,29630.79,84.32,1482.71,16387.54,0,0,0,0
5,0,3126.54,0,180.14,10577.14,3601.76,6009.21,0,0,1382.26,8559.62,145.01,0,12147.24,884.37,4168.69,71799.16,0,15003.25,0,0,74079.86,0,0,0,2736.8,2841.0,0,20420.22,29926.75,84.75,1511.46,17063.55,0,0,0,0
6,0,3169.34,0,188.55,11136.62,3746.09,6459.66,0,0,1416.59,8858.9,149.85,0,12374.19,916.47,4423.39,74305.02,0,15486.43,0,0,76636.57,0,0,0,2790.14,2881.83,0,20886.09,30384.17,86.0,1564.29,17697.02,0,0,0,0
7,0,3214.72,0,197.13,11693.28,3924.78,6895.93,0,0,1455.14,9251.17,155.21,0,12632.81,965.31,4638.2,76721.34,0,15972.62,0,0,79393.93,0,0,0,2854.01,2915.77,0,21329.34,31100.27,87.3,1623.79,18257.6,0,0,0,0
8,0,3252.29,0,210.96,12296.86,4216.14,7335.91,0,0,1557.91,9850.72,160.93,0,13489.05,1024.32,4788.37,78967.53,0,16599.52,0,0,82472.02,0,0,0,2962.98,2983.02,0,22002.77,31776.56,87.58,1719.86,18894.53,0,0,0,0
9,0,3328.39,0,227.06,12265.86,4538.9,7538.96,0,0,1699.08,10927.53,164.68,0,14279.1,1087.58,5016.41,82552.08,0,17285.16,0,0,87743.77,0,0,0,3061.64,3080.71,0,23147.08,32771.31,89.58,1892.15,20097.61,0,0,0,0
10,0,3381.53,0,238.26,11947.93,4879.69,7419.16,0,0,1816.64,12067.61,170.37,0,14666.03,1159.87,5213.63,86118.68,0,17831.36,0,0,91062.55,0,0,0,3071.95,3128.69,0,23489.45,34122.44,93.02,2067.92,21089.7,0,0,0,0
11,0,3345.91,0,250.64,11424.56,5272.35,6964.97,0,0,1924.92,13183.34,180.62,0,14839.69,1248.0,5219.02,86120.47,0,18328.27,0,0,92566.85,0,0,0,3030.24,3050.68,0,23606.95,34909.64,94.29,2243.73,21125.45,0,0,0,0
12,0,3277.2,0,252.82,10933.87,5612.81,6605.69,0,0,2019.0,14240.12,184.69,0,14927.67,1324.53,5088.76,85425.72,0,18842.88,0,0,93471.7,0,0,0,2932.31,2905.53,0,23372.99,34578.25,93.56,2395.61,20803.28,0,0,0,0
13,0,3183.74,0,259.84,10630.31,5867.68,6266.69,0,0,2107.5,15026.43,186.79,0,15035.37,1398.68,4944.92,84579.62,0,19340.48,0,0,93295.26,0,0,0,2810.01,2750.34,0,23136.95,33929.66,92.09,2541.79,20420.21,0,0,0,0
14,0,3110.97,0,275.37,10529.45,6050.33,6053.95,0,0,2180.55,15541.33,186.12,0,15238.29,1444.99,4843.19,83766.89,0,19709.6,0,0,93099.84,0,0,0,2674.43,2593.24,0,23141.71,33421.08,89.64,2642.9,20052.29,0,0,0,0
