,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FMPP,FPL,GVL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYIS,NWMT,OVEC,PJM,AEC,PNM,SEC,SCEG,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NBSO,ERCO
2003-01-01 00:00:00,0,2722.65,0,209.49,8886.97,4652.69,4905.61,0,0,1731.32,9796.25,167.23,0,12089.03,1056.52,3564.01,72591.16,0,16351.31,0,0,76972.71,0,0,0,2032.16,2061.94,0,19391.75,29003.97,79.36,1735.3,15782.03,0,0,0,0
2003-01-01 01:00:00,0,2630.63,0,198.48,8390.64,4138.64,4609.08,0,0,1602.7,9099.9,149.38,0,11555.14,975.54,3489.11,70563.8,0,15504.53,0,0,74718.0,0,0,0,1915.55,1903.67,0,18666.85,28029.96,79.01,1642.23,14983.87,0,0,0,0
2003-01-01 02:00:00,0,2580.55,0,182.38,8037.83,3828.07,4352.97,0,0,1529.41,8562.18,138.71,0,11363.64,900.36,3419.18,68530.79,0,14866.87,0,0,72930.74,0,0,0,1827.03,1745.37,0,18110.09,27193.92,78.75,1572.94,14333.29,0,0,0,0
2003-01-01 03:00:00,0,2557.64,0,175.2,7750.71,3623.33,4116.23,0,0,1470.47,8167.75,133.54,0,11360.79,862.4,3410.95,67739.8,0,14507.38,0,0,72126.59,0,0,0,1785.49,1674.91,0,17858.54,26758.71,78.56,1516.57,14072.37,0,0,0,0
2003-01-01 04:00:00,0,2587.46,0,181.41,7632.84,3573.93,4024.57,0,0,1451.55,8095.91,133.49,0,11365.86,866.43,3532.53,68024.69,0,14684.93,0,0,72051.45,0,0,0,1793.11,1604.15,0,18064.83,26702.03,78.88,1474.5,14310.65,0,0,0,0
2003-01-01 05:00:00,0,2644.06,0,186.15,7758.89,3575.58,4089.79,0,0,1481.8,8329.53,136.93,0,11407.17,895.31,3668.59,69520.86,0,15063.7,0,0,73463.85,0,0,0,1832.07,1552.74,0,18490.86,27076.41,79.31,1522.32,14760.35,0,0,0,0
2003-01-01 06:00:00,0,2696.54,0,193.83,8043.0,3656.72,4195.77,0,0,1514.78,8770.88,142.69,0,11593.68,939.27,3798.13,71271.21,0,15524.22,0,0,75516.41,0,0,0,1897.31,1556.2,0,19032.23,27701.67,80.23,1625.79,15280.17,0,0,0,0
2003-01-01 07:00:00,0,2752.99,0,204.41,8417.67,3819.59,4420.22,0,0,1537.91,9181.13,149.2,0,11949.72,994.38,3923.85,72944.92,0,15979.23,0,0,77638.68,0,0,0,1974.49,1644.76,0,19515.47,28420.01,81.72,1704.46,15762.57,0,0,0,0
2003-01-01 08:00:00,0,2812.61,0,214.79,8792.21,4246.15,4690.01,0,0,1623.97,9998.23,156.48,0,12851.5,1082.38,4039.78,74661.93,0,16558.91,0,0,80532.08,0,0,0,2077.61,1726.21,0,20086.72,29185.67,83.09,1835.72,16302.13,0,0,0,0
2003-01-01 09:00:00,0,2912.19,0,245.3,9254.72,4694.56,4891.68,0,0,1701.43,10919.67,167.1,0,13725.37,1195.82,4216.44,77953.63,0,17545.88,0,0,85126.44,0,0,0,2193.72,1837.23,0,21358.42,30275.95,84.03,1965.67,17248.58,0,0,0,0
