,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FMPP,FPL,GVL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYIS,NWMT,OVEC,PJM,AEC,PNM,SEC,SCEG,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NBSO,ERCO
0,0,3166.74,0,265.24,13233.06,4306.78,8286.75,0,0,1506.49,9666.44,160.24,0,13992.04,1286.56,4614.85,79412.33,0,18147.19,0,0,91401.9,0,0,0,3000.5,3437.09,0,25113.53,32172.75,88.48,1679.75,20376.18,0,0,0,0
1,0,3051.89,0,251.75,12854.87,3941.29,8112.01,0,0,1411.9,8980.99,149.11,0,13451.12,1226.96,4526.55,77202.16,0,17383.91,0,0,88615.82,0,0,0,2935.21,3347.41,0,24852.78,31171.34,88.17,1576.62,20052.39,0,0,0,0
2,0,2974.21,0,242.88,12593.55,3687.44,8077.24,0,0,1338.08,8408.94,144.62,0,13058.5,1177.01,4452.55,75008.03,0,16727.09,0,0,86407.42,0,0,0,2921.38,3280.52,0,24819.24,30360.66,87.69,1510.18,19855.17,0,0,0,0
3,0,2926.27,0,241.65,12660.84,3534.61,8094.75,0,0,1299.31,8090.32,143.19,0,12886.6,1152.86,4416.38,73794.2,0,16383.91,0,0,84647.28,0,0,0,2942.75,3277.95,0,25112.57,29877.94,86.96,1465.09,19799.59,0,0,0,0
4,0,2945.07,0,256.57,12942.05,3441.5,8252.25,0,0,1307.99,8096.26,147.27,0,12886.03,1156.46,4494.43,73835.15,0,16417.28,0,0,84280.85,0,0,0,3004.97,3330.8,0,25812.31,29725.19,86.48,1446.02,19942.52,0,0,0,0
5,0,2977.71,0,272.55,13359.65,3534.32,8435.35,0,0,1347.67,8343.36,154.03,0,13100.93,1188.48,4597.88,74840.81,0,16671.92,0,0,85601.05,0,0,0,3084.49,3388.88,0,26618.43,29881.94,86.97,1484.05,20281.06,0,0,0,0
6,0,3012.19,0,288.78,13797.83,3727.29,8632.38,0,0,1390.01,8711.78,161.14,0,13429.82,1242.23,4699.08,76351.53,0,17065.62,0,0,87405.04,0,0,0,3164.29,3447.49,0,27388.0,30372.29,87.77,1560.6,20591.54,0,0,0,0
7,0,3046.17,0,302.64,14258.37,3951.97,8883.3,0,0,1438.69,9140.23,167.54,0,13829.49,1302.01,4808.07,77881.43,0,17575.3,0,0,89717.51,0,0,0,3243.15,3512.19,0,28112.51,30948.17,88.57,1630.2,20850.41,0,0,0,0
8,0,3087.69,0,326.9,14820.97,4273.07,9163.63,0,0,1519.31,9662.89,174.78,0,15058.4,1383.13,4933.77,79292.61,0,18869.32,0,0,94060.6,0,0,0,3426.06,3625.55,0,29098.21,31568.03,89.13,1702.42,21167.45,0,0,0,0
9,0,3157.74,0,332.4,14340.33,4607.45,8633.95,0,0,1607.12,10185.4,181.84,0,15531.39,1444.63,4998.75,81696.99,0,19801.22,0,0,93629.47,0,0,0,3419.59,3657.78,0,29708.53,32269.16,90.25,1806.86,22109.21,0,0,0,0
