,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FMPP,FPL,GVL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYIS,NWMT,OVEC,PJM,AEC,PNM,SEC,SCEG,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NBSO,ERCO
1981-01-01 00:00:00,0,2456.37,0,286.96,11985.84,6171.48,7858.96,0,0,1905.16,11315.48,213.39,0,14846.73,1635.16,4040.5,72321.25,0,19066.39,0,0,88248.34,0,0,0,2691.25,3083.4,0,23660.23,26862.32,71.66,2166.44,17543.17,0,0,0,0
1981-01-01 01:00:00,0,2374.39,0,274.97,11678.18,5991.32,7641.04,0,0,1834.6,10745.77,205.57,0,14323.57,1625.84,3976.18,70366.12,0,18364.86,0,0,86694.37,0,0,0,2664.16,3038.48,0,23322.76,25969.68,71.87,2088.89,17242.16,0,0,0,0
1981-01-01 02:00:00,0,2332.08,0,264.4,11484.24,5856.48,7502.36,0,0,1782.36,10303.93,202.06,0,14080.65,1594.2,3929.81,68519.27,0,17875.79,0,0,85769.39,0,0,0,2692.37,3015.78,0,23210.06,25353.19,71.74,2012.77,17025.84,0,0,0,0
1981-01-01 03:00:00,0,2325.09,0,262.23,11630.11,5864.95,7564.33,0,0,1804.69,10253.62,197.87,0,14128.67,1582.67,3990.02,67579.29,0,17462.61,0,0,84817.6,0,0,0,2755.56,3028.05,0,23621.25,25171.47,71.5,1959.99,17133.29,0,0,0,0
1981-01-01 04:00:00,0,2366.47,0,270.85,12111.77,6004.88,7769.56,0,0,1873.9,10576.43,201.68,0,14245.61,1589.19,4150.29,67949.73,0,17512.77,0,0,85171.24,0,0,0,2855.83,3100.78,0,24481.76,25319.95,71.76,1987.78,17472.02,0,0,0,0
1981-01-01 05:00:00,0,2421.26,0,282.79,12634.93,6211.67,8043.09,0,0,1941.21,11085.63,209.0,0,14537.99,1648.28,4315.55,69727.75,0,17746.54,0,0,87068.37,0,0,0,2961.03,3162.19,0,25372.82,25754.47,72.64,2061.65,17986.41,0,0,0,0
1981-01-01 06:00:00,0,2476.16,0,295.7,13103.91,6424.58,8300.06,0,0,2004.53,11587.0,216.51,0,14888.69,1717.38,4469.95,71629.54,0,18070.33,0,0,89701.75,0,0,0,3064.58,3231.18,0,26340.68,26438.62,74.62,2129.83,18523.42,0,0,0,0
1981-01-01 07:00:00,0,2532.68,0,308.65,13536.84,6622.56,8564.84,0,0,2062.04,12044.2,224.49,0,15242.44,1775.82,4587.37,73412.08,0,18497.68,0,0,91927.25,0,0,0,3176.41,3317.9,0,27209.43,27364.77,76.57,2213.64,19021.32,0,0,0,0
1981-01-01 08:00:00,0,2589.71,0,337.01,14104.28,6997.49,8805.18,0,0,2230.0,13262.71,236.25,0,16233.64,1893.43,4691.52,75140.31,0,19811.69,0,0,95498.73,0,0,0,3345.02,3418.33,0,28467.98,28226.44,78.88,2347.18,19625.24,0,0,0,0
1981-01-01 09:00:00,0,2683.44,0,348.95,13641.92,6636.25,8385.96,0,0,2150.57,12997.22,237.33,0,16654.15,1846.66,4848.68,78032.11,0,20522.29,0,0,98137.46,0,0,0,3283.02,3384.72,0,28388.81,29293.35,80.48,2322.8,20713.11,0,0,0,0
1981-01-01 10:00:00,0,2743.83,0,321.91,12702.31,6162.69,7657.06,0,0,2042.24,12458.08,210.34,0,16789.8,1725.94,5006.45,80739.72,0,20815.75,0,0,98289.85,0,0,0,3133.94,3182.8,0,26565.7,30601.65,83.09,2199.26,21134.03,0,0,0,0
1981-01-01 11:00:00,0,2729.89,0,302.77,11733.22,5884.1,6906.13,0,0,1983.02,12398.86,197.31,0,16696.41,1659.14,5132.4,81121.74,0,21017.5,0,0,97431.28,0,0,0,2936.02,2927.38,0,24986.45,31339.48,83.62,2195.82,20788.71,0,0,0,0
1981-01-01 12:00:00,0,2703.7,0,291.88,11119.5,5715.32,6304.63,0,0,1943.95,12327.34,194.44,0,16499.05,1579.49,5194.28,80656.12,0,21098.05,0,0,96562.54,0,0,0,2737.39,2680.03,0,23949.3,31333.75,82.53,2201.35,20273.59,0,0,0,0
1981-01-01 13:00:00,0,2689.85,0,284.67,10768.93,5559.18,5912.55,0,0,1916.08,12183.19,190.59,0,16415.16,1495.0,5203.47,80271.62,0,21068.24,0,0,95721.45,0,0,0,2597.03,2481.67,0,23163.28,31116.44,81.52,2211.33,19841.89,0,0,0,0
