,ISO New England,"Midcontinent Independent System Operator, Inc.","PJM Interconnection, LLC","Southern Company Services, Inc. - Trans"
"Alcoa Power Generating, Inc. - Yadkin Division",0.14326851102201466,0.14537277376026048,0.41557661079627245,0.2957821044214525
"Associated Electric Cooperative, Inc.",0.09267097568207953,0.542954589520317,0.16846883868038756,0.19590559611721597
City of Homestead,0.16092786581473573,0.18060889029550145,0.2387068832423455,0.4197563606474174
City of Tallahassee,0.0794969968560938,0.11166859189588031,0.14709128121737194,0.6617431300306539
Duke Energy Carolinas,0.1303043982218453,0.14921665753385252,0.3810611016919631,0.339417842552339
"Duke Energy Florida, Inc.",0.12073250696780503,0.14985984564810165,0.20608487022381847,0.5233227771602749
Duke Energy Progress East,0.16343252881115644,0.14768971870017555,0.39455418041895607,0.29432357206971177
Duke Energy Progress West,0.11916249878597553,0.15612119965886084,0.36526545530184634,0.3594508462533173
"Electric Energy, Inc.",0.10914616397558916,0.3364744454683815,0.24751493364389626,0.306864456912133
Florida Municipal Power Pool,0.14073858969438277,0.16327458182670013,0.2276663550487344,0.4683204734301827
Florida Power & Light Co.,0.14373778496391207,0.1667826453486228,0.22871933126921742,0.46076023841824765
Gainesville Regional Utilities,0.11525040847521177,0.1429244438520725,0.20273426617832457,0.5390908814943911
"Gridforce Energy Management, LLC",0.14949622882243568,0.3733195156190749,0.21304882789018278,0.26413542766830655
JEA,0.0862942415936056,0.11729267942329398,0.15975702784642848,0.6366560511366719
Louisville Gas and Electric Company and Kentucky Utilities Company,0.11765122874935706,0.23382898072725464,0.3636643704167656,0.2848554201066227
Utilities Commission of New Smyrna Beach,0.1344355206199749,0.15576532485533612,0.22615367078888646,0.48364548373580263
New York Independent System Operator,0.44371405096199945,0.12663578304173034,0.3078936039674275,0.12175656202884266
NorthWestern Corporation,0.1867336734575339,0.3707797825603057,0.2265078696074486,0.21597867437471177
Ohio Valley Electric Corporation,0.10632347821882654,0.14820628099011282,0.5865504301116351,0.15891981067942565
PowerSouth Energy Cooperative,0.04509290480843763,0.07498848944371682,0.08762119090601422,0.7922974148418314
Public Service Company of New Mexico,0.1588481024108312,0.3633307910873798,0.21773435029385435,0.2600867562079346
Seminole Electric Cooperative,0.11947544126088688,0.14867404262203965,0.2048156262643161,0.5270348898527575
"Dominion Energy South Carolina, Inc.",0.12653623611844572,0.1444463337365267,0.2845246796682368,0.44449275047679077
South Carolina Public Service Authority,0.1367332015825594,0.14807800105887414,0.31294323884893555,0.40224555850963095
Southeastern Power Administration,0.05731638500115984,0.08459077737016034,0.10969816253626914,0.7483946750924106
Southwest Power Pool,0.12125082170086629,0.5008498306433203,0.1822361085721967,0.1956632390836167
Southwestern Power Administration,0.10716589207199154,0.35739748876490784,0.21403106713237444,0.32140555203072607
Tampa Electric Company,0.13296732557795296,0.16150401150208185,0.21703215105805534,0.48849651186190984
Tennessee Valley Authority,0.09844648804623893,0.20881291871266253,0.2320195496445561,0.46072104359654237
Western Area Power Administration - Rocky Mountain Region,0.158353357754455,0.41031838706072865,0.21177146898721316,0.2195567861976032
Western Area Power Administration - Upper Great Plains West,0.18221791953615812,0.38446737774099443,0.22385073216259857,0.20946397056024887
New Brunswick System Operator,0.6605068690513268,0.09560135868467967,0.15365451379156259,0.09023725847243078
"Electric Reliability Council of Texas, Inc.",0.14182779318520675,0.3275187015897992,0.21384266692956427,0.3168108382954298
